Time,Predicted,Actual
12:02:12 AM,18.07099259,18.08377103
12:02:13 AM,18.1821307,18.08173808
12:02:14 AM,18.282978,18.09308112
12:02:15 AM,18.09321607,18.09164766
12:02:16 AM,18.06997395,18.0920243
12:02:17 AM,18.15957505,18.09238849
12:02:18 AM,18.09228768,18.09385922
12:02:19 AM,18.05963902,18.08253628
12:02:20 AM,17.97846276,18.0798454
12:02:21 AM,18.03215823,18.08351403
12:02:22 AM,18.08970564,18.08036071
12:02:23 AM,18.03175714,18.07803664
12:02:24 AM,18.20664889,18.09885136
12:02:25 AM,18.08009967,18.1002151
12:02:26 AM,18.12359772,18.09771099
12:02:27 AM,18.0971664,18.09929061
12:02:28 AM,18.13732781,18.09862365
12:02:29 AM,18.41671432,18.11470026
12:02:30 AM,18.47357407,18.11266181
12:02:31 AM,18.28980716,18.11026204
12:02:32 AM,18.70134645,18.10887099
12:02:33 AM,18.74168554,18.10827872
12:02:34 AM,18.06960175,18.07840853
12:02:35 AM,18.07006987,18.08228947
12:02:36 AM,18.07256246,18.08050984
12:02:37 AM,18.07657663,18.07741665
12:02:38 AM,18.05676186,18.07666304
12:02:39 AM,18.91014886,18.08603201
12:02:40 AM,18.0645358,18.08252117
12:02:41 AM,18.05172328,18.08136746
12:02:42 AM,18.05490898,18.08065829
12:02:43 AM,18.06743399,18.07932033
12:02:44 AM,18.13619515,18.03753253
12:02:45 AM,18.06361425,18.03786367
12:02:46 AM,18.15041395,18.03472453
12:02:47 AM,18.15412275,18.03172653
12:02:48 AM,18.24403868,18.0333103
12:02:49 AM,18.13745978,18.11922122
12:02:50 AM,18.20520377,18.11973473
12:02:51 AM,18.36825935,18.12094909
12:02:52 AM,18.2703346,18.12053419
12:02:53 AM,18.30363388,18.12072335
12:02:54 AM,18.15045521,18.1100293
12:02:55 AM,18.26027608,18.10950644
12:02:56 AM,18.0045584,18.11250739
12:02:57 AM,17.85954234,18.11222131
12:02:58 AM,17.9702222,18.11200429
12:02:59 AM,18.20333525,17.97064941
12:03:00 AM,18.06927816,17.94547983
12:03:01 AM,18.01181454,17.91365995
12:03:02 AM,18.03699185,17.88191302
12:03:03 AM,17.93791744,17.85022582
12:03:04 AM,17.90168448,18.03579822
12:03:05 AM,17.90473904,18.0319815
12:03:06 AM,17.95304375,18.03041299
12:03:07 AM,17.97215098,18.03310891
12:03:08 AM,18.01751928,18.03369606
12:03:09 AM,18.20870226,18.01627334
12:03:10 AM,18.51619095,18.01574826
12:03:11 AM,17.98404162,18.01435181
12:03:12 AM,17.91958669,18.0142358
12:03:13 AM,18.98043708,18.01176707
12:03:14 AM,17.85892964,17.82539761
12:03:15 AM,17.82459757,17.80686213
12:03:16 AM,17.76832218,17.78991217
12:03:17 AM,17.77645989,17.77416196
12:03:18 AM,17.73197859,17.7650358
12:03:19 AM,18.89278511,18.08906836
12:03:20 AM,18.27687328,18.08976884
12:03:21 AM,18.30048435,18.08508165
12:03:22 AM,18.09726088,18.08557472
12:03:23 AM,18.46567962,18.08391586
12:03:24 AM,17.83533951,17.93820274
12:03:25 AM,18.257873,17.93880579
12:03:26 AM,17.7829578,17.93511276
12:03:27 AM,17.91645674,17.93412133
12:03:28 AM,17.79272626,17.93285129
12:03:29 AM,17.57091324,17.47358599
12:03:30 AM,17.5177629,17.47761802
12:03:31 AM,17.39437113,17.46013519
12:03:32 AM,17.46086198,17.44340777
12:03:33 AM,18.01377649,17.42235814
12:03:34 AM,18.25276553,17.92774261
12:03:35 AM,18.15139977,17.92480244
12:03:36 AM,18.70823395,17.91798499
12:03:37 AM,18.110629,17.91035457
12:03:38 AM,18.81209218,17.90299339
12:03:39 AM,18.13712851,17.72016515
12:03:40 AM,20.82010918,17.71363346
12:03:41 AM,17.75407172,17.706654
12:03:42 AM,18.05685745,17.69930159
12:03:43 AM,18.21035285,17.69001182
12:03:44 AM,18.65851132,18.03045383
12:03:45 AM,18.16441018,18.02789656
12:03:46 AM,18.31636475,18.02181685
12:03:47 AM,18.25412711,18.02022882
12:03:48 AM,18.19298089,18.01648688
12:03:49 AM,18.82686732,17.86496982
12:03:50 AM,18.32635249,17.86132604
12:03:51 AM,17.88470278,17.85762882
12:03:52 AM,18.56960584,17.85335084
12:03:53 AM,18.08365367,17.84278152
12:03:54 AM,17.2843899,17.1828444
12:03:55 AM,17.58686766,17.18147329
12:03:56 AM,17.23314707,17.17835703
12:03:57 AM,17.31971099,17.17434298
12:03:58 AM,17.19538757,17.17111265
12:03:59 AM,18.51023275,17.79138397
12:04:00 AM,18.50402099,17.7896822
12:04:01 AM,17.80229862,17.78444445
12:04:02 AM,17.79032404,17.78010224
12:04:03 AM,17.79589284,17.77998272
12:04:04 AM,17.97447423,17.95742138
12:04:05 AM,18.1081775,17.95510653
12:04:06 AM,17.97475262,17.95140189
12:04:07 AM,18.17515255,17.95027495
12:04:08 AM,19.20168027,17.94692668
12:04:09 AM,17.85922627,17.54415878
12:04:10 AM,17.72586414,17.54813067
12:04:11 AM,17.61590192,17.54908843
12:04:12 AM,17.76784168,17.55394698
12:04:13 AM,17.59955857,17.55896568
12:04:14 AM,17.43896342,17.13402307
12:04:15 AM,17.28134109,17.13111495
12:04:16 AM,17.22171742,17.12349223
12:04:17 AM,17.1958136,17.11712152
12:04:18 AM,17.21096949,17.11096418
12:04:19 AM,17.76328842,17.67676903
12:04:20 AM,18.8427583,17.67163832
12:04:21 AM,17.75578078,17.66591439
12:04:22 AM,17.68843414,17.66313801
12:04:23 AM,18.63005009,17.66082941
12:04:24 AM,18.3961506,17.8245725
12:04:25 AM,17.89686851,17.82315389
12:04:26 AM,18.22644414,17.81878275
12:04:27 AM,17.93940147,17.81413005
12:04:28 AM,18.19100352,17.81490006
12:04:29 AM,17.48657208,17.40825802
12:04:30 AM,17.55987956,17.40706358
12:04:31 AM,17.56178262,17.40613582
12:04:32 AM,17.91984603,17.40734044
12:04:33 AM,17.96875919,17.40795207
12:04:34 AM,18.13278642,17.70057701
12:04:35 AM,18.3250672,17.69798851
12:04:36 AM,19.84189335,17.6946209
12:04:37 AM,18.67470353,17.69050269
